"Member__r.Name","Challenge__r.Challenge_Id__c","Place__c","Points_Awarded__c","Score__c","Status__c","Submitted_Date__c"
"MUTHUKO","1133","","0.0","0.0","Registered","2011-12-19T14:03:19.000Z"
"pmartin","1134","","0.0","0.0","Registered",""
"Kenji776","1135","1","500.0","100.0","Won","2011-12-19T14:03:19.000Z"
"kimby","1134","","0.0","0.0","Registered",""
"mbleigh","1076","1","750.0","100.0","Won","2011-12-19T14:03:00.000Z"
"mess","1066","","0.0","0.0","Registered",""
"msingh","1070","","0.0","0.0","Registered",""
"msb","1070","","0.0","0.0","Registered",""
"msb","1075","","0.0","0.0","Registered",""
"msb","1076","","0.0","0.0","Registered",""
"jacobdam","1076","13","0.0","64.0","Lost","2011-12-19T14:03:00.000Z"
"sarat_266","1066","","0.0","0.0","Registered",""
"Arunk3","1069","","0.0","0.0","Registered",""
"Aiias","1067","1","500.0","95.0","Won","2011-12-19T14:03:00.000Z"
"subramanya83","1066","","0.0","0.0","Registered",""
"sbfaulkner","1076","2","450.0","83.0","Lost","2011-12-19T14:03:00.000Z"
"bnadlerjr","1076","","0.0","0.0","Registered",""
"judeepeter","1076","","0.0","0.0","Registered",""
"shanmuk1729","1071","","0.0","0.0","Registered","2011-12-19T14:03:00.000Z"
"fractastical","1067","1","500.0","95.0","Won","2011-12-19T14:03:00.000Z"
"shanmuk1729","1067","","0.0","0.0","Registered",""
"mural","1078","1","500.0","83.0","Won","2011-12-19T14:03:00.000Z"
"mural","1079","1","450.0","84.0","Won","2011-12-19T14:03:00.000Z"
"fractastical","1069","1","650.0","100.0","Won","2011-12-19T14:03:00.000Z"
"vrrathod","1066","","0.0","0.0","Registered","2011-12-19T14:03:00.000Z"
"patmcqueen","1064","","0.0","0.0","Registered",""
"chexxor","1079","13","0.0","63.0","Lost","2011-12-19T14:03:00.000Z"
"chexxor","1078","2","300.0","73.0","Lost","2011-12-19T14:03:00.000Z"
"romin","1079","2","250.0","73.0","Lost","2011-12-19T14:03:00.000Z"
"romin","1078","2","300.0","73.0","Lost","2011-12-19T14:03:00.000Z"
"drackzzz","1069","","0.0","0.0","Registered",""
"sashti_s","1060","","0.0","0.0","Registered",""
"cbratcher","1079","14","0.0","55.0","Lost","2011-12-19T14:03:00.000Z"
"stpizz","1076","","0.0","0.0","Registered",""
"vickyvvv44","1107","","0.0","0.0","Registered",""
"phantom05","1097","","0.0","0.0","Registered",""
"amol123","1111","","0.0","0.0","Registered",""
"habeeb","1097","","0.0","0.0","Registered",""
"tanmoy99","1108","","0.0","0.0","Registered",""
"rajkumar","1111","","0.0","0.0","Registered",""
"briz","1097","","0.0","0.0","Registered","2011-12-19T14:03:01.000Z"
"bilalahmad","1111","","0.0","0.0","Registered",""
"raygao","1109","","0.0","0.0","Registered",""
"JarrodKingston","1097","","0.0","0.0","Registered","2011-12-19T14:03:01.000Z"
"adriely","1111","","0.0","0.0","Registered",""
"mural","1113","1","1000.0","100.0","Won","2011-12-19T14:03:03.000Z"
"ayushsrivastava","1111","","0.0","0.0","Registered",""
"pruthvi_earth","1109","","0.0","25.0","Registered","2011-12-19T14:03:03.000Z"
"smita","1105","","0.0","0.0","Registered",""
"lasiaf","1097","","0.0","0.0","Registered",""
"satish1988bs","1110","","0.0","0.0","Registered",""
"acorv","1113","4","100.0","88.0","Lost","2011-12-19T14:03:03.000Z"
"Pranshu","1111","","0.0","0.0","Registered",""
"Chitragupta25","1111","","0.0","0.0","Registered",""
"DocuSignExample","1112","","0.0","0.0","Registered",""
"cloudspokesqa","1112","","0.0","0.0","Registered",""
"bytearray","1113","","0.0","0.0","Registered",""
"plmcgrn","1113","","0.0","0.0","Registered",""
"Sasikala","1097","","0.0","0.0","Registered",""
"jaymorgun","1097","","0.0","0.0","Registered",""
"lawrence","1111","","0.0","0.0","Registered",""
"abrahamrkj","1110","","0.0","0.0","Registered",""
"hirenb","1097","","0.0","0.0","Registered",""
"vismay","1097","","0.0","0.0","Registered",""
"kinjalpgor","1097","","0.0","0.0","Registered",""
"mleach_fb","1112","","0.0","62.0","Registered","2011-12-19T14:03:03.000Z"
"ravware","1112","","0.0","69.0","Registered","2011-12-19T14:03:03.000Z"
"searchquest","1112","1","10000.0","85.0","Won","2011-12-19T14:03:03.000Z"
"sudeepp","1112","","0.0","0.0","Registered",""
"benlorenz","1134","","0.0","47.0","Registered","2011-12-19T14:03:19.000Z"
"OCONRSEA","1135","2","250.0","85.0","Lost","2011-12-19T14:03:04.000Z"
"vinu_swissi","1133","","0.0","0.0","Registered",""
"RaghavendraS","1133","","0.0","0.0","Registered",""
"RaghavendraS","1137","","0.0","0.0","Registered",""
"meetsabir1","1136","","0.0","0.0","Registered",""
"zenith","1137","","0.0","0.0","Registered",""
"khyati","1133","","0.0","0.0","Registered",""
"agoyal03","1142","","0.0","0.0","Registered",""
"jlanier","1134","","0.0","0.0","Registered",""
"chinnu","1133","","0.0","0.0","Registered",""
"jaladiradhakrishna","1142","","0.0","0.0","Registered","2011-12-19T14:03:04.000Z"
"keyuranaghan","1142","","0.0","0.0","Registered",""
"tu_eyt","1133","","0.0","0.0","Registered",""
"keyuranaghan","1133","","0.0","0.0","Registered",""
"prigarg","1133","","0.0","0.0","Registered",""
"Pratikshakatre","1133","","0.0","0.0","Registered",""
"mjprince","1133","","0.0","0.0","Registered",""
"yo_bravo","1133","","0.0","0.0","Registered",""
"archana_kushwaha","1133","","0.0","0.0","Registered",""
"vijay7","1136","","0.0","0.0","Registered",""
"akshat","1136","","0.0","0.0","Registered",""
"razi","1133","","0.0","0.0","Registered",""
"murugavel","1137","","0.0","0.0","Registered",""
"cenasundar","1133","","0.0","0.0","Registered","2011-12-19T14:03:04.000Z"
"shefaliporwal","1133","","0.0","0.0","Registered",""
"omi","1133","","0.0","0.0","Registered",""
"ajaysgill","1133","","0.0","0.0","Registered",""
"karthik7374","1137","","0.0","0.0","Registered",""
"cheta","1136","","0.0","0.0","Registered",""
"Abhisheksagar","1133","","0.0","0.0","Registered",""
"spentyala","1142","","0.0","0.0","Registered",""
"sathesh_rj","1136","","0.0","0.0","Registered",""
"SupriyaVerma","1142","","0.0","0.0","Registered",""
"Khurram","1136","","0.0","0.0","Registered",""
"ankur200784","1133","","0.0","0.0","Registered",""
"soniap12","1136","","0.0","0.0","Registered",""
"cbratcher","1078","3","200.0","71.0","Lost","2011-12-19T14:03:00.000Z"
"robertodecurnex","1076","","0.0","0.0","Registered",""
"Ashish_13","1069","","0.0","0.0","Registered",""
"tsstaff","1078","1","500.0","83.0","Won","2011-12-19T14:03:00.000Z"
"tsstaff","1079","1","450.0","84.0","Won","2011-12-19T14:03:00.000Z"
"ynatis","1064","","0.0","0.0","Registered","2011-12-19T14:03:00.000Z"
"xf3227","1066","","0.0","0.0","Registered",""
"knthornt","1064","1","50.0","95.0","Won","2011-12-19T14:03:00.000Z"
"dpernice","1066","","0.0","0.0","Registered",""
"dpernice","1069","","0.0","0.0","Registered",""
"pasha","1066","","0.0","0.0","Registered",""
"victor","1069","","0.0","0.0","Registered",""
"vinopavit","1066","","0.0","0.0","Registered",""
"kyleisidorey","1080","1","2275.0","100.0","Won","2011-12-19T14:03:00.000Z"
"ehartye","1080","","0.0","0.0","Registered",""
"petesoder","1064","","0.0","0.0","Registered",""
"seema","1065","","0.0","0.0","Registered",""
"ghadiashish","1066","","0.0","0.0","Registered",""
"sforce2009","1081","","0.0","0.0","Registered",""
"anbarasan","1066","","0.0","0.0","Registered",""
"fractastical","1064","","0.0","0.0","Registered","2011-12-19T14:03:00.000Z"
"homer","1080","","0.0","0.0","Registered",""
"coolkr18star","1080","","0.0","0.0","Registered",""
"pradeepin2","1065","","0.0","0.0","Registered",""
"rajesh","1066","","0.0","0.0","Registered",""
"sahilhot1231","1065","","0.0","0.0","Registered",""
"prasit11","1066","","0.0","0.0","Registered",""
"elkhawajah","1080","","0.0","0.0","Registered",""
"mural","1083","1","325.0","86.0","Won","2011-12-19T14:03:00.000Z"
"tsstaff","1082","","0.0","0.0","Registered",""
"sindujaramaraj","1082","","0.0","0.0","Registered",""
"kswiggum","1084","1","315.0","100.0","Won","2011-12-19T14:03:00.000Z"
"varunkaushish","1084","3","135.0","85.0","Lost","2011-12-19T14:03:00.000Z"
"Nyceane","1112","3","5000.0","70.0","Lost","2011-12-19T14:03:03.000Z"
"g2018","1097","","0.0","0.0","Registered","2011-12-19T14:03:01.000Z"
"vin5488","1113","","0.0","0.0","Registered",""
"g2018","1110","","0.0","0.0","Registered","2011-12-19T14:03:03.000Z"
"g2018","1105","","0.0","25.0","Registered","2011-12-19T14:03:01.000Z"
"narinderbalewa","1097","","0.0","0.0","Registered",""
"coder_samprikta","1108","","0.0","0.0","Registered",""
"systems86","1097","","0.0","0.0","Registered",""
"manvi","1104","","0.0","0.0","Registered",""
"RagerConsultingLLC","1112","","0.0","0.0","Registered",""
"ESDDemo","1112","","0.0","43.0","Registered","2011-12-19T14:03:03.000Z"
"eSignDocs","1112","","0.0","49.0","Registered","2011-12-19T14:03:03.000Z"
"esdhackathon","1112","","0.0","51.0","Registered","2011-12-19T14:03:03.000Z"
"GdeB","1112","","0.0","59.0","Registered","2011-12-19T14:03:03.000Z"
"marsmuse","1112","","0.0","61.0","Registered","2011-12-19T14:03:03.000Z"
"stumnee","1112","","0.0","57.0","Registered","2011-12-19T14:03:03.000Z"
"weaccrete","1112","","0.0","48.0","Registered","2011-12-19T14:03:03.000Z"
"evanjacobs","1112","","0.0","62.0","Registered","2011-12-19T14:03:03.000Z"
"Kenneth","1112","","0.0","37.0","Registered","2011-12-19T14:03:03.000Z"
"nicholasareed","1112","2","5000.0","70.0","Lost","2011-12-19T14:03:03.000Z"
"mansilladev","1112","4","5000.0","70.0","Lost","2011-12-19T14:03:03.000Z"
